Nr. Crt.,Hotel,Locatie,Furnizor,Articol,Pret unitar,Nr. Buc.,Valoare acciza,Pret total,Feedback clienti,Rating
1,Glorious Star Resort,Bucuresti,JYSK,Lenjerie de pat,30,6,0,180,5,100%
2,Malachite Shore Resort,Bucuresti,Metro,Fructe,10,150,0,1500,4,80%
3,Eastern Crow Resort & Spa,Eforie-Nord,IKEA,Articole de curatenie,75,50,0,3750,4,80%
4,Golden River Hotel,Bucuresti,Emag,Articole de birotica,12,40,0,480,5,100%
5,Gentle Gardens Motel,Bucuresti,Selgros,Legume,15,100,0,1500,,80%
6,Brass Square Hotel & Spa,Poiana Brasov,Leida Impex,Articole Spa,50,35,0,1750,4,80%
7,Icecap Hotel,Poiana Brasov,Luminarium,Articole iluminat,36,40,0,1440,3,60%
8,Spare Time Resort,Eforie-Nord,Balenciaga,Articole vestimentare,100,50,0,5000,4,80%
9,Orbit Resort & Spa,Bucuresti,Leida Impex,Articole Spa,50,40,0,2000,,100%
10,Rosewood Hotel,Bucuresti,eBirotica,Articole de birotica,12,20,0,240,4,80%
11,Glorious Star Resort,Bucuresti,Finestore,Bauturi alcoolice,30,50,30,1530,5,100%